gyrox;gyroy;gyroz;promx;promy;promz;label
3.172984193;-1.092430671;-0.706593178;14.96661355;-7.63329173;41.61057262;mal
3.638288131;-1.383403494;-0.537729007;14.98741451;-7.489694637;41.05258578;mal
3.747508874;-1.564548197;-0.567284248;14.6430437;-7.368710504;41.15756368;mal
3.479755241;-1.629451747;-0.681882418;13.00341407;-7.302322703;41.46227359;mal
2.832169606;-1.824331947;-0.902547698;10.37943681;-7.645744645;40.68855896;mal
1.966338325;-1.978254576;-1.153751248;8.813499416;-7.902049485;39.81585395;mal
1.040266944;-1.995834276;-1.377415308;7.811702427;-8.013570436;38.60659673;mal
-0.021075541;-2.027423849;-1.662168608;6.845037349;-8.222727672;37.63512229;mal
-1.182661453;-2.095000998;-1.946305435;6.371697353;-8.079292451;36.71228976;mal
-2.294579922;-2.017104548;-2.234601553;5.840892377;-8.353950054;36.22464393;mal
-3.145926789;-1.761582363;-2.425293955;5.592384001;-8.558854825;35.6292392;mal
-3.739544759;-1.418954298;-2.50640904;5.992302499;-8.836009022;34.83449696;mal
-3.967984969;-1.125889684;-2.493099113;6.679955516;-8.828604434;33.96549713;mal
-3.736934664;-0.89814071;-2.388657293;7.06735667;-8.50514725;32.81532546;mal
-2.946478258;-0.624725957;-2.175812313;7.153765094;-8.035292089;31.24477338;mal
-1.707514975;-0.266830837;-1.916959235;6.806117871;-7.77146238;29.8975095;mal
-0.624330227;-0.107417859;-1.628328342;6.154476034;-7.516463947;28.79931032;mal
0.330848087;0.037313145;-1.424534997;5.495614632;-7.431954431;27.904719;mal
1.210680089;0.291093511;-1.266461287;4.801932552;-7.537238374;26.85788148;mal
1.841784248;0.4868066;-1.049242762;4.563410621;-7.273454643;25.62017846;mal
2.290258735;0.555663062;-0.80336467;4.900468064;-7.055139323;24.0829404;mal
2.706077482;0.551887465;-0.624948087;5.423248892;-6.518623075;22.74759143;mal
2.95440355;0.577160566;-0.468683361;5.900177446;-5.784126228;21.93407127;mal
3.027438769;0.5516467;-0.291925568;6.213197594;-5.229937073;21.22213534;mal
3.173870105;0.316946977;-0.05999878;6.088250023;-4.594956395;19.57158429;mal
3.467019689;0.085718802;0.232177482;5.679356065;-4.406899827;17.54293937;mal
3.747943871;0.003186023;0.51400294;5.438457303;-4.043867151;16.01258182;mal
4.036412424;-0.014235663;0.746365225;5.242399653;-3.354937422;14.530481;mal
4.365472823;0.06584426;0.937656517;3.933265982;-2.937825698;12.69788566;mal
4.795477981;0.23175086;1.036900444;2.361562179;-2.46853271;10.7443207;mal
5.269633111;0.373813921;1.085300333;2.101665876;-2.140935733;9.525129262;mal
5.507009318;0.441118968;1.111016306;0.792068449;-1.620390001;8.58985563;mal
5.422838491;0.572677427;1.157347754;-1.267598296;-0.743741459;7.422110655;mal
5.026437493;0.500762784;1.245361786;-2.21561771;-0.450967964;6.070451332;mal
4.743526678;0.383095397;1.318837549;-2.997999861;-0.688211725;4.397163918;mal
4.489881864;0.272287854;1.365039933;-3.779336475;-0.926866474;2.752489762;mal
4.104398724;-0.030305158;1.359235718;-4.1244938;-0.779081227;1.05244782;mal
3.643314254;-0.208849584;1.273025568;-4.220104688;-0.03824888;-0.717273526;mal
