elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.37;-1.033;0.084;-0.22;0.076;0.267;0.076
1.38;-1.035;0.084;-0.219;-0.114;0.396;0.191
1.39;-1.033;0.081;-0.219;-0.183;0.488;0.175
1.4;-1.03;0.082;-0.22;-0.084;0.633;0.175
1.41;-1.031;0.08;-0.221;0.107;0.663;0.145
1.42;-1.033;0.082;-0.223;0.061;0.518;0.16
1.43;-1.035;0.083;-0.222;-0.03;0.366;0.114
1.44;-1.035;0.08;-0.222;0.16;0.274;-0.023
1.45;-1.032;0.083;-0.222;0.198;0.16;-0.046
1.46;-1.03;0.08;-0.22;0.084;0.168;0.053
1.47;-1.031;0.08;-0.222;-0.099;0.229;0.076
1.48;-1.03;0.08;-0.223;-0.221;0.404;0.13
1.49;-1.031;0.082;-0.222;-0.137;0.434;0.069
1.5;-1.034;0.084;-0.223;0.069;0.183;0.069
1.51;-1.034;0.082;-0.223;0.191;-0.076;0.03
1.52;-1.035;0.082;-0.223;0.404;-0.168;-0.008
1.53;-1.033;0.08;-0.225;0.358;-0.114;0.015
1.54;-1.03;0.08;-0.219;0.511;0.191;0.13
1.55;-1.03;0.081;-0.223;0.663;0.412;0.099
1.56;-1.03;0.081;-0.224;0.45;0.373;0.13
1.57;-1.034;0.084;-0.224;0.145;0.297;0.221
1.58;-1.035;0.084;-0.221;-0.084;0.328;0.206
1.59;-1.03;0.083;-0.219;-0.236;0.274;0.145
1.6;-1.032;0.083;-0.219;-0.297;0.267;0.053
1.61;-1.034;0.082;-0.222;-0.358;-0.099;0.015
1.62;-1.036;0.077;-0.222;-0.442;-0.267;0.008
1.63;-1.034;0.077;-0.223;-0.091;-0.183;0.069
1.64;-1.032;0.076;-0.221;0.244;-0.069;0.053
1.65;-1.029;0.081;-0.221;0.511;0.198;0.023
1.66;-1.03;0.078;-0.221;0.625;0.457;-0.015
1.67;-1.032;0.077;-0.22;0.854;0.61;0.16
1.68;-1.032;0.086;-0.22;0.915;0.64;0.175
1.69;-1.031;0.086;-0.221;0.816;0.488;0.191
1.7;-1.035;0.085;-0.221;0.61;0.32;0.16
1.71;-1.038;0.083;-0.222;0.335;0.297;0.198
1.72;-1.035;0.085;-0.223;0.328;0.267;0.175
1.73;-1.033;0.084;-0.222;0.191;0.099;-0.015
1.74;-1.03;0.082;-0.222;-0.046;0.252;-0.015
1.75;-1.032;0.083;-0.221;-0.191;0.442;-0.099
1.76;-1.032;0.084;-0.223;-0.297;0.655;-0.091
1.77;-1.03;0.083;-0.222;-0.351;0.861;0.061
1.78;-1.03;0.082;-0.225;-0.503;0.976;0.114
1.79;-1.031;0.083;-0.225;-0.564;0.96;0.03
1.8;-1.032;0.083;-0.225;-0.473;0.854;-0.023
1.81;-1.032;0.083;-0.223;-0.396;0.8;-0.023
1.82;-1.036;0.084;-0.22;-0.457;0.655;-0.191
1.83;-1.038;0.083;-0.221;-0.64;0.442;-0.198
1.84;-1.037;0.083;-0.221;-0.869;0.305;-0.099
1.85;-1.034;0.08;-0.219;-0.739;0.351;-0.053
1.86;-1.028;0.079;-0.218;-0.282;0.587;-0.076
1.87;-1.026;0.077;-0.216;0.16;0.709;-0.023
1.88;-1.031;0.079;-0.219;0.48;0.625;-0.03
1.89;-1.035;0.079;-0.221;0.572;0.534;-0.061
1.9;-1.038;0.078;-0.225;0.412;0.442;0.038
1.91;-1.033;0.076;-0.221;0.32;0.434;0.16
1.92;-1.033;0.081;-0.223;0.183;0.511;0.168
1.93;-1.027;0.081;-0.219;0.213;0.701;0.229
1.94;-1.029;0.081;-0.223;0.221;0.922;0.274
1.95;-1.035;0.084;-0.224;0.267;0.762;0.069
1.96;-1.038;0.084;-0.225;0.114;0.45;-0.008
1.97;-1.035;0.081;-0.225;0.091;0.213;-0.015
1.98;-1.031;0.079;-0.221;0.145;0.137;0.069
1.99;-1.031;0.08;-0.222;0.015;0.183;0.107
2;-1.033;0.083;-0.226;-0.038;0.297;0.053
2.01;-1.032;0.082;-0.226;0.175;0.434;0.099
2.02;-1.029;0.081;-0.227;0.16;0.473;0.099
2.03;-1.028;0.079;-0.226;0.252;0.633;-0.053
2.04;-1.029;0.078;-0.223;0.381;0.671;0
2.05;-1.032;0.08;-0.223;0.427;0.579;0.168
2.06;-1.036;0.083;-0.223;0.526;0.595;0.191
2.07;-1.034;0.081;-0.225;0.457;0.541;0.236
2.08;-1.034;0.083;-0.223;0.305;0.434;0.229
2.09;-1.033;0.082;-0.22;0.473;0.48;0.297
2.1;-1.031;0.081;-0.221;0.633;0.755;0.335
2.11;-1.032;0.082;-0.223;0.572;0.762;0.229
2.12;-1.033;0.081;-0.226;0.389;0.724;0.236
2.13;-1.031;0.082;-0.225;0.152;0.488;0.198
2.14;-1.033;0.083;-0.223;0.038;0.381;0.16
2.15;-1.031;0.083;-0.224;0.145;0.343;0.244
2.16;-1.033;0.081;-0.223;0.229;0.259;0.267
2.17;-1.03;0.08;-0.222;0.229;0.404;0.328
2.18;-1.026;0.08;-0.224;0.328;0.724;0.282
2.19;-1.029;0.083;-0.223;0.488;0.838;0.32
2.2;-1.032;0.083;-0.222;0.625;0.724;0.274
2.21;-1.033;0.084;-0.225;0.252;0.617;0.213
2.22;-1.031;0.087;-0.227;-0.213;0.61;0.183
2.23;-1.032;0.087;-0.222;-0.358;0.61;0.122
2.24;-1.028;0.084;-0.222;-0.328;0.777;0.13
2.25;-1.028;0.083;-0.226;-0.32;0.854;0.046
2.26;-1.031;0.083;-0.229;0.015;0.793;0.03
2.27;-1.036;0.083;-0.225;0.221;0.716;-0.008
2.28;-1.033;0.081;-0.229;0.32;0.518;-0.008
2.29;-1.031;0.079;-0.229;0.518;0.335;0.061
2.3;-1.032;0.081;-0.228;0.549;0.267;0.114
2.31;-1.03;0.079;-0.226;0.495;0.145;0.183
2.32;-1.031;0.079;-0.227;0.48;0.343;0.244
2.33;-1.031;0.081;-0.228;0.564;0.48;0.198
2.34;-1.029;0.08;-0.229;0.64;0.541;0.229
2.35;-1.027;0.084;-0.226;0.587;0.633;0.236
2.36;-1.03;0.086;-0.228;0.442;0.671;0.191
2.37;-1.031;0.086;-0.227;0.32;0.625;0.191
