elapsed(s);x-axis (g);y-axis (g);z-axis (g);x-axis(deg/s);y-axis(deg/s);z-axis(deg/s)
1.62;-0.76;0.224;0.39;11.7;17.256;6.319
1.63;-0.747;0.233;0.339;10.503;24.284;4.809
1.64;-0.729;0.234;0.296;8.78;31.921;2.927
1.65;-0.691;0.236;0.223;5.808;40.48;1.242
1.66;-0.646;0.239;0.146;0.777;50.305;-0.938
1.67;-0.668;0.206;0.045;-2.881;64.642;-6.944
1.68;-0.817;0.139;-0.093;-5.48;81.486;-15.823
1.69;-1.301;-0.017;-0.156;-10.793;97.088;-23.407
1.7;-2.014;-0.062;0.034;-8.979;91.509;-19.482
1.71;-2.309;0.235;0.648;5.93;41.471;-0.884
1.72;-1.788;0.458;1.201;1.044;-13.514;25.732
1.73;-1.043;0.471;1.163;-26.966;-3.796;40.534
1.74;-0.635;0.408;0.693;-54.718;50.663;30.389
1.75;-0.601;0.292;0.309;-56.898;90.122;0.998
1.76;-0.784;0.117;0.124;-44.863;108.438;-29.619
1.77;-1.151;0.086;-0.159;-31.982;120.015;-38.148
1.78;-1.323;0.245;-0.21;-23.491;98.636;-22.744
1.79;-1.066;0.153;-0.088;-32.431;61.547;-6.684
1.8;-0.824;-0.062;-0.044;-33.338;48.293;-1.578
1.81;-0.859;-0.163;-0.079;-18.14;56.059;-0.03
1.82;-1.029;-0.168;-0.104;4.573;62.553;1.966
1.83;-1.141;-0.128;-0.09;30.511;58.727;1.677
1.84;-1.092;0;-0.034;51.494;48.887;-1.151
1.85;-1.042;0.164;-0.04;59.154;47.271;-5.328
1.86;-1.068;0.263;-0.062;53.209;51.128;-9.009
1.87;-1.091;0.274;-0.059;36.921;55.595;-10.633
1.88;-1.064;0.254;-0.062;22.538;58.3;-10.465
1.89;-1.035;0.247;-0.075;16.585;59.154;-10.137
1.9;-1.049;0.239;-0.051;16.105;58.712;-10.953
1.91;-1.069;0.212;-0.024;16.593;57.241;-12.043
1.92;-1.093;0.167;-0.038;16.181;57.896;-12.203
1.93;-1.099;0.121;-0.078;17.965;59.314;-12.866
1.94;-1.087;0.099;-0.123;23.155;59.093;-14.253
1.95;-1.075;0.1;-0.161;29.672;58.255;-16.517
1.96;-1.047;0.093;-0.174;34.002;57.454;-18.453
1.97;-1.036;0.071;-0.151;36.09;59.299;-18.704
1.98;-1.055;0.064;-0.128;40.328;61.059;-17.912
1.99;-1.063;0.102;-0.106;46.982;59.116;-16.54
2;-1.08;0.178;-0.062;52.355;55.892;-14.665
2.01;-1.082;0.246;-0.018;53.643;51.913;-12.37
2.02;-1.09;0.282;0.004;50.015;51.235;-10.724
2.03;-1.126;0.295;-0.004;42.995;52.95;-10.45
2.04;-1.114;0.292;-0.013;36.402;50.091;-10.076
2.05;-1.067;0.288;-0.049;32.431;45.816;-9.611
2.06;-1.039;0.272;-0.083;31.608;44.733;-10.13
2.07;-1.021;0.254;-0.107;32.027;44.787;-11.174
2.08;-1.006;0.217;-0.137;32.53;45.076;-12.195
2.09;-0.977;0.201;-0.147;34.55;43.102;-14.055
2.1;-0.951;0.236;-0.138;34.184;40.396;-14.672
2.11;-0.957;0.268;-0.128;28.979;39.733;-13.91
2.12;-0.972;0.247;-0.11;21.814;40.328;-12.782
2.13;-0.987;0.189;-0.099;16.639;41.242;-11.502
2.14;-0.999;0.141;-0.109;14.383;43.262;-10.854
2.15;-1.01;0.12;-0.126;14.085;45.976;-11.517
2.16;-0.998;0.139;-0.147;15.008;46.509;-12.416
2.17;-0.984;0.173;-0.167;15.45;47.515;-13.605
2.18;-0.985;0.179;-0.177;13.498;49.84;-14.985
