elapsed(s);x-axis (g);y-axis (g);z-axis (g);x-axis(deg/s);y-axis(deg/s);z-axis(deg/s)
8.8;-1.01;0.075;0.004;13.628;39.688;-17.127
8.81;-1.029;0.084;-0.049;17.988;38.11;-17.157
8.82;-1.03;0.077;-0.071;22.142;36.159;-16.677
8.83;-1.034;0.065;-0.076;24.459;34.291;-15.366
8.84;-1.036;0.074;-0.062;26.113;33.727;-13.613
8.85;-1.029;0.096;-0.045;28.521;33.201;-11.601
8.86;-1.03;0.122;-0.052;31.12;30.183;-9.177
8.87;-1.061;0.148;-0.057;33.476;26.006;-7.37
8.88;-1.077;0.166;-0.044;36.524;23.209;-7.241
8.89;-1.048;0.177;-0.007;39.535;22.424;-8.575
8.9;-1.011;0.2;0.039;40.823;24.398;-9.764
8.91;-0.988;0.244;0.075;39.284;27.058;-10.495
8.92;-0.995;0.289;0.106;35.495;30.838;-11.669
8.93;-0.993;0.306;0.133;32.05;35.915;-13.651
8.94;-0.989;0.294;0.136;31.776;40.053;-16.723
8.95;-1.003;0.233;0.114;33.011;39.939;-19.634
8.96;-1.04;0.145;0.084;34.558;37.835;-21.372
8.97;-1.035;0.083;0.06;35.282;35.381;-21.768
8.98;-0.988;0.094;0.026;35.854;31.822;-22.188
8.99;-0.969;0.163;0.001;37.325;29.002;-21.768
9;-0.976;0.231;-0.02;40.213;24.505;-20.541
9.01;-1.031;0.255;-0.028;44.893;16.052;-18.674
9.02;-1.099;0.233;-0.033;49.901;7.973;-15.793
9.03;-1.095;0.244;-0.017;54.474;2.127;-13.956
9.04;-1.09;0.337;0.008;60.541;-2.218;-13.902
9.05;-1.155;0.406;0.05;64.848;-10.404;-15.038
9.06;-1.284;0.365;0.124;66.113;-22.058;-16.524
9.07;-1.313;0.248;0.226;72.492;-27.165;-20.663
9.08;-1.18;0.129;0.336;90.373;-22.995;-28.819
9.09;-1.107;0.03;0.419;111.959;-18.887;-36.684
9.1;-1.229;-0.037;0.446;130.114;-33.377;-36.037
9.11;-1.438;-0.085;0.449;112.439;-78.483;-33.941
9.12;-1.595;-0.058;0.573;74.566;-88.392;-51.578
9.13;-1.465;0.04;0.804;115.389;32.614;-62.683
9.14;-0.755;-0.096;0.666;127.188;68.742;-43.369
9.15;-0.875;-0.183;0.071;106.22;-37.431;-29.939
9.16;-1.731;0.019;-0.577;95.221;-48.986;-13.872
9.17;-1.362;0.05;-0.469;94.04;-21.471;-15.305
9.18;-1.05;0.125;-0.318;89.466;-18.841;-21.852
9.19;-1.138;0.138;-0.528;73.117;-24.604;-13.262
9.2;-1.27;0.044;-0.641;62.104;-42.172;-0.152
9.21;-1.386;-0.064;-0.742;55.122;-55.358;7.98
9.22;-1.4;-0.095;-0.734;46.227;-58.095;12.637
9.23;-1.287;-0.128;-0.691;41.029;-55.701;15.488
9.24;-1.16;-0.213;-0.659;41.181;-57.462;19.032
9.25;-1.09;-0.291;-0.635;43.232;-59.87;22.736
9.26;-1.017;-0.303;-0.573;43.529;-59.939;25.777
9.27;-0.939;-0.261;-0.546;36.631;-61.532;29.741
9.28;-0.942;-0.163;-0.559;21.997;-60.838;33.659
9.29;-0.935;-0.029;-0.566;1.006;-57.988;38.232
9.3;-0.923;0.076;-0.581;-23.072;-50.96;42.34
9.31;-0.889;0.133;-0.577;-49.627;-45.976;46.707
9.32;-0.895;0.161;-0.595;-76.959;-45.983;52.012
9.33;-0.945;0.176;-0.604;-100.282;-45.915;55.503
9.34;-0.958;0.15;-0.588;-115.602;-48.018;58.125
9.35;-0.993;0.061;-0.549;-120.45;-53.338;60.48
9.36;-1.049;-0.074;-0.504;-115.473;-60.572;62.927
9.37;-1.077;-0.195;-0.438;-105.305;-72.454;63.971
9.38;-1.078;-0.241;-0.352;-93.491;-77.454;61.014
9.39;-1.011;-0.22;-0.228;-83.003;-73.704;55.823
9.4;-0.968;-0.151;-0.15;-78.605;-74.97;53.963
9.41;-1.015;-0.08;-0.134;-80.023;-76.075;54.253
9.42;-1.033;-0.025;-0.087;-82.165;-67.005;51.944
9.43;-0.98;0.008;-0.006;-84.177;-55.694;44.703
9.44;-0.928;0.043;0.047;-87.675;-44.276;33.087
9.45;-0.875;0.059;0.098;-90.465;-28.758;22.66
9.46;-0.812;0.032;0.174;-90.793;-10.739;13.445
9.47;-0.783;-0.011;0.226;-86.052;2.477;7.226
9.48;-0.805;-0.061;0.256;-78.11;9.04;3.514
9.49;-0.878;-0.066;0.291;-68.453;14.154;2.782
9.5;-0.935;-0.056;0.292;-64.131;12.622;5.907
9.51;-1;-0.046;0.283;-64.123;10.084;7.546
9.52;-1.011;-0.012;0.29;-60.061;11.197;7.706
9.53;-0.964;-0.016;0.267;-52.858;12.691;6.41
9.54;-0.939;-0.038;0.247;-41.357;13.498;3.88
9.55;-0.938;-0.061;0.241;-24.901;14.314;-0.602
9.56;-0.934;-0.068;0.229;-9.36;16.288;-5.595
9.57;-0.928;-0.036;0.212;-1.075;25.053;-11.631
9.58;-0.923;0.057;0.159;8.704;35.686;-17.965
9.59;-0.939;-0.009;0.026;22.378;35.869;-23.064
9.6;-1.067;-0.139;-0.017;30.96;30.907;-23.361
9.61;-1.134;-0.148;-0.029;31.38;26.639;-18.346
9.62;-1.158;-0.047;-0.054;26.082;25.168;-11.585
9.63;-1.214;0.083;-0.039;15.434;20.152;-4.466
9.64;-1.316;0.197;0.029;2.287;11.22;1.951
9.65;-1.352;0.242;0.099;-7.409;8.361;4.672
9.66;-1.246;0.199;0.144;-10.808;16.905;2.226
9.67;-1.089;0.091;0.127;-6.189;26.105;-2.523
9.68;-1.033;-0.049;0.066;1.57;27.515;-6.151
9.69;-1.058;-0.123;0.031;7.858;24.245;-6.677
9.7;-1.076;-0.084;0.024;10.465;21.723;-5.305
9.71;-1.073;0.021;0.024;9.276;20.152;-3.399
9.72;-1.076;0.107;0.03;20.511;11.814;2.508
9.73;-1.066;0.128;0.047;26.555;10.107;2.576
9.74;-1.034;0.117;0.067;30.518;9.276;1.951
9.75;-1.016;0.102;0.088;30.945;9.726;1.38
9.77;-1.024;0.074;0.156;27.561;9.802;1.441
9.78;-1.033;0.112;0.152;22.309;8.636;1.395
9.79;-1.039;0.154;0.123;16.311;7.309;1.059
9.8;-1.054;0.191;0.081;10.381;7.584;-0.008
9.81;-1.066;0.214;0.052;4.939;9.436;-1.296
9.82;-1.065;0.215;0.047;-0.213;11.753;-1.738
9.83;-1.065;0.199;0.045;-5.236;12.995;-1.273
9.84;-1.059;0.172;0.038;-8.773;13.102;-0.526
9.85;-1.056;0.143;0.027;-10.023;12.386;0.114
9.86;-1.061;0.127;0.012;-9.405;11.151;0.236
9.87;-1.062;0.117;-0.001;-7.523;10.008;0.061
9.88;-1.067;0.111;-0.015;-4.619;9.024;-0.114
9.89;-1.069;0.107;-0.025;-1.25;7.957;0.008
9.9;-1.068;0.104;-0.031;1.944;6.875;0.175
9.91;-1.075;0.097;-0.03;5.16;6.319;0.229
9.92;-1.086;0.086;-0.024;8.613;6.059;0.442
9.93;-1.09;0.069;-0.009;11.265;5.777;0.732
9.94;-1.082;0.042;0.002;11.829;5.434;1.486
9.95;-1.074;0.025;0.011;10.328;5.015;2.386
9.96;-1.075;0.022;0.011;7.538;4.954;3.003
9.97;-1.066;0.043;0.004;3.62;5.655;3.277
9.98;-1.054;0.083;0.001;-0.351;6.227;2.919
9.99;-1.041;0.12;0;-3.117;6.608;3.148
10;-1.032;0.147;-0.005;-3.75;6.791;3.27
10.01;-1.039;0.164;-0.007;-2.927;6.517;2.973
10.02;-1.052;0.157;-0.011;-1.631;5.206;2.515
10.03;-1.061;0.147;-0.014;-0.61;3.948;1.905
10.04;-1.068;0.146;-0.016;-0.465;3.117;1.037
10.05;-1.068;0.147;-0.023;-0.915;2.538;-0.023
10.06;-1.054;0.154;-0.026;-1.159;2.79;-0.694
10.07;-1.036;0.166;-0.024;;;
10.08;-1.034;0.167;-0.011;;;
10.09;-1.046;0.157;0.001;;;
10.1;-1.057;0.138;0.007;;;
10.11;-1.068;0.115;0.013;;;
10.12;-1.066;0.097;0.017;;;
