elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.66;-1.062;0.293;-0.583;-92.302;-130.023;-20.534
1.67;-1.032;0.288;-0.583;-89.566;-131.806;-23.178
1.68;-1;0.297;-0.558;-89.505;-132.896;-25.915
1.69;-0.969;0.291;-0.547;-92.309;-132.851;-27.706
1.7;-0.941;0.271;-0.516;-97.431;-132.233;-28.765
1.71;-0.907;0.252;-0.486;-99.802;-131.479;-30.076
1.72;-0.871;0.224;-0.466;-98.468;-130.168;-31.204
1.73;-0.835;0.182;-0.445;-95.305;-128.247;-31.662
1.74;-0.81;0.145;-0.427;-91.562;-125.831;-31.669
1.75;-0.778;0.125;-0.404;-86.639;-122.111;-31.372
1.76;-0.745;0.119;-0.376;-81.471;-117.096;-30.747
1.77;-0.72;0.12;-0.361;-77.835;-111.364;-29.878
1.78;-0.698;0.118;-0.367;-76.037;-104.733;-29.261
1.79;-0.682;0.108;-0.375;-75.259;-98.62;-29.123
1.8;-0.676;0.089;-0.379;-74.345;-92.752;-28.758
1.81;-0.669;0.066;-0.376;-73.841;-87.736;-28.392
1.82;-0.672;0.023;-0.359;-70.854;-85.267;-27.736
1.83;-0.675;-0.035;-0.309;-64.101;-83.559;-26.273
1.84;-0.673;-0.069;-0.273;-57.233;-80.328;-24.284
1.85;-0.699;-0.094;-0.252;-49.322;-79.588;-21.928
1.86;-0.744;-0.12;-0.242;-38.75;-80.747;-19.329
1.87;-0.809;-0.133;-0.197;-22.607;-83.392;-15.29
1.88;-0.882;-0.104;-0.121;-2.264;-86.829;-9.901
1.89;-0.952;-0.063;-0.043;16.7;-87.134;-3.582
1.9;-1.004;-0.022;0.063;30.168;-84.855;3.613
1.91;-1.028;0.016;0.246;39.649;-82.797;10.114
1.92;-0.987;0.022;0.474;45.427;-75.77;14.055
1.93;-0.922;-0.047;0.683;48.826;-65.77;17.866
1.94;-0.806;-0.132;0.905;46.89;-47.401;26.387
1.95;-0.676;-0.211;1.099;39.611;-14.131;35.953
1.96;-0.692;-0.189;1.19;30.991;18.872;39.413
1.97;-0.819;-0.108;1.079;32.363;37.881;40.023
1.98;-0.888;-0.046;0.831;39.748;46.372;43.598
1.99;-0.826;0.041;0.621;39.383;57.378;48.895
2;-0.736;0.128;0.426;32.881;81.456;50.023
2.01;-0.739;0.258;0.021;10.808;133.415;38.186
2.02;-1.457;0.379;-0.423;-28.14;162.447;15.785
2.03;-2.687;0.355;-0.57;-70.694;101.463;-2.561
2.04;-2.854;0.368;-0.517;-157.591;10.617;-5.32
2.05;-1.873;0.238;0.094;-223.201;-13.178;16.265
2.06;-0.896;0.055;0.657;-216.662;29.352;31.395
2.07;-0.561;-0.144;0.622;-175.595;75.785;31.326
2.08;-0.648;-0.287;0.306;-124.405;102.409;34.985
2.09;-0.925;-0.234;-0.048;-77.942;107.622;47.523
2.1;-1.105;-0.091;-0.323;-36.837;98.27;57.165
2.11;-1.125;0.036;-0.464;8.194;80.922;55.579
2.12;-1.026;0.138;-0.484;53.552;62.828;46.745
2.13;-0.927;0.225;-0.406;74.512;50.412;41.265
2.14;-0.895;0.249;-0.29;74.977;45.412;41.037
2.15;-0.895;0.222;-0.193;72.53;46.974;41.303
2.16;-0.918;0.197;-0.115;72.386;52.355;40.983
